code,description
EDU_audd_3018,"International virksomhedskommunikation i 2 fremmedsprog, bach."
EDU_audd_3019,"Softwareteknologi, ing.bach."
EDU_audd_3020,"Moderne tysklandsstudier,master"
EDU_audd_3021,"International Relations, cand.soc"
EDU_audd_3022,"International erhvervsøkonomi med fremmedsprog, dansk og engelsk, bach."
EDU_audd_3023,"Erhvervsøkonomi-erhvervssprog, engelsk og spansk,bach.int."
EDU_audd_3024,"Business, Language and Culture, cand.merc.int."
EDU_audd_3025,"Business, Asian Language and Culture, bach."
EDU_audd_3026,"Business, Language and Culture, bach."
EDU_audd_3027,"Maskinkonstruktion, ing.bach."
EDU_audd_3028,"Mechanical Design, cand.polyt."
EDU_audd_3029,"Arkitektur og design, cand.polyt."
EDU_audd_3030,"Sundheds-IT, master"
EDU_audd_3031,"Virksomhedskommunikation,cand.ling.merc."
EDU_audd_3032,"Lingvistik, bach."
EDU_audd_3033,"Sprogvidenskab-lingvistik, cand.mag."
EDU_audd_3034,"Arabisk- og islamstudier, bach."
EDU_audd_3035,"Arabisk- og islamstudier, cand.mag."
EDU_audd_3036,"HA (int.) erhvervsøkonomi med fransk,bach."
EDU_audd_3037,"HA (int.)erhvervsøkonomi med spansk,bach."
EDU_audd_3038,"HA (int.)erhvervsøkonomi med engelsk,bach."
EDU_audd_3039,"Spansk og spanskamerikansk sprog, litteratur og kultur, bach."
EDU_audd_3040,"Journalistik, cand.mag."
EDU_audd_3041,"Spansk og latinamerikansk sprog og kultur, bach."
EDU_audd_3042,"Food Science and Technology, cand.tech.al."
EDU_audd_3043,"Designer - Industrielt design og Accessory, bach."
EDU_audd_3044,"Amu.adm, administrative funktioner i HR"
EDU_audd_3045,"Biokemi, bach."
EDU_audd_3046,"Akvatisk miljøbiologi, cand.scient."
EDU_audd_3047,"Engineering (Sustainable Fisheries and Aquaculture), cand.polyt."
EDU_audd_3048,"Biologisk oceanografi, cand.scient."
EDU_audd_3049,"Biomedicinsk teknik, cand.scient.med."
EDU_audd_3050,"Biosystemteknologi, cand.scient.tech."
EDU_audd_3051,"Bioteknologi, master"
EDU_audd_3052,"Bæredygtig energi, cand.scient.tech."
EDU_audd_3053,"Eksperimentel biologi,bach."
EDU_audd_3054,"Eksperimentel biologi, cand.scient."
EDU_audd_3055,"International erhvervsøkonomi med fremmedsprog, engelsk og tysk, bach."
EDU_audd_3056,"Kemi, miljø og bioteknologi, ingeniør bach."
EDU_audd_3057,"Kemi, miljø og bioteknologi, cand.scient.tech."
EDU_audd_3058,"Molekylærbiologi, cand.scient."
EDU_audd_3059,"Systembiologi,cand.polyt."
EDU_audd_3060,"Systembiologi, cand.scient.tech."
EDU_audd_3061,"Digital Communication Leadership, cand.it."
EDU_audd_3062,"Audiologi, bach."
EDU_audd_3063,"Audiologi, cand.mag."
EDU_audd_3064,"Logopædi, bach."
EDU_audd_3065,"Pædagogisk audiologi, bach."
EDU_audd_3066,"Brasilianske studier, bach."
EDU_audd_3067,"Brasilianske studier, cand.mag."
EDU_audd_3068,"Portugisiske og brasilianske studier, bach."
EDU_audd_3069,"Portugisiske og brasilianske studier, cand.mag."
EDU_audd_3070,"European Studies, cand.mag."
EDU_audd_3071,"Øst- og sydøsteuropastudier, bulgarsk, bach."
