code,description
LAB_disco_4311,Almindeligt regnskabs- og bogføringsarbejde
LAB_disco_4312,"Almindeligt kontorarbejde vedrørende statistik, finansielle transaktioner og forsikringer"
LAB_disco_4313,Almindeligt kontorarbejde inden for lønbehandling
LAB_disco_4321,Lagerekspeditionsarbejde
LAB_disco_4322,Registreringsarbejde inden for produktion
LAB_disco_4323,Registreringsarbejde inden for transport- og trafikstyring
LAB_disco_4411,Biblioteksservicearbejde
LAB_disco_4412,Postbud- og betjentarbejde samt postsorteringsarbejde
LAB_disco_4413,Korrekturlæsning og beslægtede funktioner
LAB_disco_4415,Arbejde med arkivering og kopiering
LAB_disco_4416,Almindeligt kontorarbejde inden for HR
LAB_disco_4419,Almindeligt kontor- og kundeservicearbejde ikke klassificeret andetsteds
LAB_disco_5111,Servicearbejde af passagerer i forbindelse med rejser
LAB_disco_5112,Kontrolarbejde under rejser
LAB_disco_5113,Turist- og rejselederarbejde
LAB_disco_5120,Kokkearbejde (ekskl. køkkenchefarbejde)
LAB_disco_5131,Tjenerarbejde
LAB_disco_5132,Bartenderarbejde
LAB_disco_5141,Frisørarbejde
LAB_disco_5142,Kosmetologarbejde og beslægtede funktioner
LAB_disco_5151,Rengøringsinspektørarbejde
LAB_disco_5152,Husbestyrerarbejde
LAB_disco_5153,Ejendomsinspektørarbejde
LAB_disco_5161,Astrologiarbejde og beslægtede funktioner
LAB_disco_5162,Kammertjenerarbejde
LAB_disco_5163,Bedemandsarbejde
LAB_disco_5164,Arbejde med kæledyr
LAB_disco_5165,Kørelærerarbejde
LAB_disco_5169,Servicearbejde ikke klassificeret andetsteds
LAB_disco_5211,Stade- og markedssalg
LAB_disco_5212,Gadesalg af fødevarer
LAB_disco_5221,Butiksejere
LAB_disco_5222,Butikslederarbejde
LAB_disco_5223,Salgsarbejde i butik
LAB_disco_5230,Kasseassistentarbejde og beslægtet kundebetjening
LAB_disco_5241,Modelarbejde
LAB_disco_5242,Demonstrationsarbejde
LAB_disco_5244,Salgsarbejde i kundekontaktcentre
LAB_disco_5245,Salgsarbejde på servicestationer
LAB_disco_5246,Kasseassistentarbejde inden for catering og fastfood
LAB_disco_5249,Salgsarbejde ikke klassificeret andetsteds
LAB_disco_5311,Børneomsorgsarbejde
LAB_disco_5312,Hjælpelærerarbejde
LAB_disco_5321,Omsorgsarbejde på institutioner og hospitaler (ekskl. plejehjem)
LAB_disco_5322,Social- og sundhedsarbejde i private hjem (inkl. plejehjem)
LAB_disco_5329,Andet omsorgsarbejde inden for sundhedsområdet
LAB_disco_5411,Brandslukningsarbejde
LAB_disco_5412,Politiarbejde
LAB_disco_5413,Fængselsbetjentarbejde
LAB_disco_5414,Sikkerhedsvagtarbejde
LAB_disco_5419,Andet rednings- og overvågningsarbejde (ekskl. ambulancebehandlere)
LAB_disco_6111,Dyrkning af markafgrøder inden for jordbrug
LAB_disco_6112,Dyrkning af afgrøder fra træer og buske
LAB_disco_6113,Væksthus- og anlægsgartnerarbejde
LAB_disco_6114,Dyrkning af blandede afgrøder
LAB_disco_6121,"Arbejde med opdræt af husdyr, ekskl. fjerkræ"
LAB_disco_6122,Arbejde med opdræt af fjerkræ
LAB_disco_6123,Arbejde med bi- og silkeavl
LAB_disco_6129,Andet arbejde med dyreopdræt
LAB_disco_6130,Arbejde med dyrkning af plantevækst og opdræt af dyr
LAB_disco_6210,Skovbrugsarbejde
LAB_disco_6221,Arbejde inden for akvakultur
LAB_disco_6222,Arbejde med fiskeri i kyst- og søområder
LAB_disco_6223,Arbejde med havfiskeri
LAB_disco_6224,Jagtarbejde
