code,prefix,database,value,description,source,confidence,language
EDU_udd_210,EDU,udd,210,9-10 år ivu,pt_dictionaries,highest,danish
EDU_udd_215,EDU,udd,215,"Studentereksamen mv., ivu",pt_dictionaries,highest,danish
EDU_udd_220,EDU,udd,220,"Pædagogik, ivu (amu)",pt_dictionaries,highest,danish
EDU_udd_239,EDU,udd,239,"Handel/kontor, ivu (amu)",pt_dictionaries,highest,danish
EDU_udd_2401,EDU,udd,2401,Efterskole una,pt_dictionaries,highest,danish
EDU_udd_2411,EDU,udd,2411,"Husholdningskursus, alment",pt_dictionaries,highest,danish
EDU_udd_2413,EDU,udd,2413,Køkkenleder 1,pt_dictionaries,highest,danish
EDU_udd_2414,EDU,udd,2414,Husholdningstekniker,pt_dictionaries,highest,danish
EDU_udd_2415,EDU,udd,2415,"Husholdningsskole, efteruddannelseskursus",pt_dictionaries,highest,danish
EDU_udd_2417,EDU,udd,2417,"Husholdningsskole, andre kurser",pt_dictionaries,highest,danish
EDU_udd_2419,EDU,udd,2419,Køkkenleder 2,pt_dictionaries,highest,danish
EDU_udd_2421,EDU,udd,2421,Håndarbejdskursus,pt_dictionaries,highest,danish
EDU_udd_2425,EDU,udd,2425,Særlig tilrettelagt ungdomsuddannelse (STU),pt_dictionaries,highest,danish
EDU_udd_2428,EDU,udd,2428,Daghøjskoler,pt_dictionaries,highest,danish
EDU_udd_2431,EDU,udd,2431,"Ungdomshøjskolekursus, alment",pt_dictionaries,highest,danish
EDU_udd_2432,EDU,udd,2432,"Ungdomshøjskolekursus, andre",pt_dictionaries,highest,danish
EDU_udd_2441,EDU,udd,2441,"Folkehøjskolekursus, alment",pt_dictionaries,highest,danish
EDU_udd_2442,EDU,udd,2442,"Folkehøjskolekursus, særlig gymnastik-/idrætskursus",pt_dictionaries,highest,danish
EDU_udd_2443,EDU,udd,2443,"Folkehøjskolekursus, håndarbejde og sløjd",pt_dictionaries,highest,danish
EDU_udd_2444,EDU,udd,2444,"Folkehøjskolekursus, forkursus sygepleje",pt_dictionaries,highest,danish
EDU_udd_2445,EDU,udd,2445,"Folkehøjskolekursus, særlig tilrettelagt for handicappede",pt_dictionaries,highest,danish
EDU_udd_2446,EDU,udd,2446,"Folkehøjskolekursus, pensionister",pt_dictionaries,highest,danish
EDU_udd_2447,EDU,udd,2447,"Folkehøjskolekursus, andre",pt_dictionaries,highest,danish
EDU_udd_2459,EDU,udd,2459,Landmand faglært modul 1a,pt_dictionaries,highest,danish
EDU_udd_2460,EDU,udd,2460,Landmand faglært modul 1b,pt_dictionaries,highest,danish
EDU_udd_2461,EDU,udd,2461,"Driftlederkursus, udvidet 5 mdr.",pt_dictionaries,highest,danish
EDU_udd_2462,EDU,udd,2462,"Landmand, efteruddannelse",pt_dictionaries,highest,danish
EDU_udd_2469,EDU,udd,2469,"Inseminør, kvæg",pt_dictionaries,highest,danish
EDU_udd_2470,EDU,udd,2470,Produktionsassistent landbrug,pt_dictionaries,highest,danish
EDU_udd_2471,EDU,udd,2471,"Landbrugslærer, efteruddannelse",pt_dictionaries,highest,danish
EDU_udd_2473,EDU,udd,2473,"Landbrugskurser, andre",pt_dictionaries,highest,danish
EDU_udd_2475,EDU,udd,2475,Mejeriteknolog,pt_dictionaries,highest,danish
EDU_udd_2476,EDU,udd,2476,"Mejeriskolekurser, andre",pt_dictionaries,highest,danish
EDU_udd_2477,EDU,udd,2477,"Gartnerskole, væksthus kursus",pt_dictionaries,highest,danish
EDU_udd_2478,EDU,udd,2478,"Gartnerskole, planteskole kursus",pt_dictionaries,highest,danish
EDU_udd_2479,EDU,udd,2479,"Gartnerskole, anlæg kursus",pt_dictionaries,highest,danish
EDU_udd_2480,EDU,udd,2480,"Gartnerskole, frugtavl kursus",pt_dictionaries,highest,danish
EDU_udd_2481,EDU,udd,2481,Blomsterdekoratørkursus,pt_dictionaries,highest,danish
EDU_udd_2483,EDU,udd,2483,"Gartnerskole, andre kurser",pt_dictionaries,highest,danish
EDU_udd_2484,EDU,udd,2484,Skovbrugskursus,pt_dictionaries,highest,danish
EDU_udd_2485,EDU,udd,2485,Landmand faglært modul 2,pt_dictionaries,highest,danish
EDU_udd_2486,EDU,udd,2486,Driftsleder grønt bevis,pt_dictionaries,highest,danish
EDU_udd_2487,EDU,udd,2487,"Landbrugsskole, grundskole afkortet",pt_dictionaries,highest,danish
EDU_udd_2488,EDU,udd,2488,"Gartner, driftslederkursus",pt_dictionaries,highest,danish
EDU_udd_2489,EDU,udd,2489,Landbrugets driftlederkursus,pt_dictionaries,highest,danish
EDU_udd_2490,EDU,udd,2490,Agrarøkonom,pt_dictionaries,highest,danish
EDU_udd_2491,EDU,udd,2491,Grønt diplom modul 4,pt_dictionaries,highest,danish
EDU_udd_2492,EDU,udd,2492,Landbrugets lederuddannelse,pt_dictionaries,highest,danish
EDU_udd_2493,EDU,udd,2493,Kombineret ungdomsuddannelse,pt_dictionaries,highest,danish
EDU_udd_2508,EDU,udd,2508,"8. klasse, efterskole",pt_dictionaries,highest,danish
EDU_udd_2509,EDU,udd,2509,"9. klasse, efterskole",pt_dictionaries,highest,danish
EDU_udd_2510,EDU,udd,2510,"10. klasse, efterskole",pt_dictionaries,highest,danish
EDU_udd_2511,EDU,udd,2511,"11. klasse, efterskole",pt_dictionaries,highest,danish
EDU_udd_2515,EDU,udd,2515,Efterskoler,pt_dictionaries,highest,danish
EDU_udd_2516,EDU,udd,2516,Efterskoler 8.-9. kl.,pt_dictionaries,highest,danish
EDU_udd_2517,EDU,udd,2517,Efterskoler 10.-11. kl.,pt_dictionaries,highest,danish
EDU_udd_253,EDU,udd,253,"Bygge/anlæg, ivu (amu)",pt_dictionaries,highest,danish
EDU_udd_2530,EDU,udd,2530,Den fri ungdomsuddannelse (FUU),pt_dictionaries,highest,danish
EDU_udd_254,EDU,udd,254,"Jern/metal, ivu (amu)",pt_dictionaries,highest,danish
EDU_udd_255,EDU,udd,255,"Grafisk, ivu (amu)",pt_dictionaries,highest,danish
EDU_udd_258,EDU,udd,258,"Teknik/industri i øvrigt, ivu (amu)",pt_dictionaries,highest,danish
EDU_udd_260,EDU,udd,260,"Service, ivu (amu)",pt_dictionaries,highest,danish
