code,title,level
3067,"Brasilianske studier, cand.mag.",3
3068,"Portugisiske og brasilianske studier, bach.",3
3069,"Portugisiske og brasilianske studier, cand.mag.",3
3070,"European Studies, cand.mag.",3
3071,"Øst- og sydøsteuropastudier, bulgarsk, bach.",3
3072,"Øst- og sydøsteuropastudier, grækenlandsstudier, bach.",3
3073,"Øst- og sydøsteuropastudier, polsk, bach.",3
3074,"Øst- og sydøsteuropastudier, russisk, bach.",3
3075,"Østeuropastudier, cand.mag.",3
3076,"Economics and Business administration, cand.soc.",3
3077,"Erhvervsøkonomi-virksomhedskommunikation, cand.merc.(kom)",3
3078,"Advanced Economics and Finance, cand.oecon.",3
3079,"Innovation og videnøkonomi, cand.oecon.",3
3080,"Statskundskab, bach.",3
3081,"Økonomi - Nationaløkonomi, cand.polit.",3
3082,"Politik og Administration, cand.scient.adm.",3
3083,"HA(kom.) erhvervsøkonomi-virksomhedskommunikation, bach.",3
3084,"Marketing and management communication, bach.",3
3085,"Kulturgeografi, cand.scient.",3
3086,"Geoinformatik (MTM), master",3
3087,"Klassisk filologi, bach.",3
3088,"Græsk, klassisk, bach.",3
3089,"Latin, bach.",3
3090,"Oldtidskundskab, bach.",3
3091,"Vestasiens oldtidshistorie, cand.mag.",3
3092,"Interdisciplinære naturvidenskabelige studier, cand.scient.",3
3093,"Oplevelsesdesign, cand.it.",3
3094,"Digital design, bach.",3
3095,"Digital design, cand.it.",3
3096,"Interaktive digitale medier, cand.it.",3
3097,"It-produktudvikling, bach.",3
3098,"It og læring, organisatorisk omstilling, cand.it.",3
3099,"Information Architecture, cand.it.",3
3100,"Informationsvidenskab, bach.",3
3101,"Informationsvidenskab, cand.it.",3
3102,"Matrikulær informatik, master",3
3103,"Security and mobile computing, kand.",3
3104,"Digitalisering og applikationsudvikling, cand.it.",3
3105,"Software, ing.bach.",3
3106,"Software, cand.polyt.",3
3107,"Softwarekonstruktion, cand.polyt.",3
3108,"Computer Engineering, cand.scient.tech.",3
3109,"Digitale medieteknologier, cand.scient.tech.",3
3110,"Design and Innovation, cand.polyt.",3
3111,"Produktudvikling og innovation, cand.scient.tech.",3
3112,"Industrial Engineering and Management, cand.polyt.",3
3113,"Operations and Innivation Management, cand.scient.tech.",3
3114,"Manufacturing Technology, cand.polyt.",3
3115,"Elektroteknologi, cand.polyt.",3
3116,"Elektroteknologi, ing.bach.",3
3117,"Electro-Mechanical System Design, cand.polyt.",3
3118,"Design of Mechanical Systems, cand.polyt.",3
3119,"Engineering Design and Applied Mechanics, cand.polyt.",3
3120,"Food Innovation and Health, cand.scient.",3
3121,"Produkt- og designpsykologi, ing.bach.",3
3122,"Produktion og konstruktion, ing.bach.",3
3123,"Produktion, cand.scient.tech.",3
3124,"By-, energi- og miljøplanlægning, ing.bach.",3
3125,"Urban Energy and Environmental Planning, cand.polyt.",3
3126,"Surveying Planning and Land Management,cand.scient.tech.",3
3127,"Energy Engineering, cand.polyt.",3
3128,"Vindenergi, cand.scient.tech.",3
3129,"Køleteknik,cand.polyt.",3
3130,"Miljø- og arbejdsmiljøledelse, master",3
3131,"Environmental Studies, civilingeniør 2år",3
3132,"Food Technology, cand.polyt.",3
3133,"Fødevarevidenskab, cand.scient.tech.",3
3134,"Molecular Nutrition and Food Technology, cand.scient.",3
3135,"Amu.trp, lager, terminal og logistik",3
3136,"Klinisk farmaci, cand.pharm.",3
3137,"Pharmaceutical Sciences, cand.scient.",3
3138,"Farmaceutisk kemi, cand.scient.",3
3139,"Kemi, cand.scient.",3
3140,"Applied Chemistry, cand.polyt.",3
3141,"Biomedical Engineering, cand.polyt.",3
3142,"Teknisk geologi, cand.scient.tech.",3
3143,"Didaktik, dansk, cand.pæd.",3
3144,"Didaktik, matematik, cand.pæd.",3
3145,"Didaktik, materiel kultur, cand.pæd.",3
3146,"Didaktik, musikpædagogik, cand.pæd.",3
3147,"Moderne kultur, cand.mag.",3
3148,"Æstetik og kultur, bach.",3
3149,"Kognitiv semiotik, cand.mag.",3
3150,"Journalism, Media and Globalisation, cand.mag.",3
3151,"Information Studies, cand.mag.",3
3152,"Informationsvidenskab og kulturformidling, master",3
3153,"Veterinary public health,master",3
3154,"Art and technology, bach.",3
3155,"Computational Biomedicine, cand.scient.",3
3156,"Product Development and Innovation, cand.polyt.",3
3157,"Social Work,European Master",3
3158,"Latinamerikastudier, cand.mag.",3
3159,"Amu.mej, pasning af dyr",3
3160,"Internat. virksomhedskommunikation, dansk, cand.mag.",3
3161,"Urban Studies, kand.",3
3162,"Kognitionsvidenskab, bach.",3
3163,"Webkommunikation, cand.it.",3
3164,"Informations- og kommunikationsvidenskab, cand.mag.",3
3165,"Kuratering, master",3
3166,"Internat. virksomhedskommunikation, arabisk, bach.",3
3167,"Tourism management, kand.",3
3168,"Cyber Security, cand.polyt.",3
3169,"Software Engineering, cand.polyt.",3
3170,"Economics and Business Administration - General Management and Analytics, cand.merc.",3
3171,"Cognitive Science, bach.",3
3172,"Tjekkisk, bach.",3
3173,"Bosnisk-kroatisk-serbisk, cand.mag",3
3174,"Cognitive Science, cand.it.",3
3175,"Amu.eli, gas- og oliefyrede installationer",3
3176,"Arkitekturens teknik, æstetik og metoder,master",3
3177,"Kvantitativ biologi og sygdomsmodellering, ingeniør bach.",3
3178,"Undervisning i tekstildesign og håndværk, prof.bach.",3
3179,"Fødevareteknologi (overbygning), prof.bach.",3
3180,"Procesteknologi (overbygning), prof.bach.",3
3181,"Amu, fri-institutionsforsøg",3
3182,"Radiologisk billeddiagnostik, prof.bach.",3
3183,"Stråleterapi, prof.bach.",3
3184,"It og elektronik (overbygning), prof.bach.",3
3185,"Installation og automation (overbygning), prof.bach.",3
3186,"Skole-og fritidspædagogik, prof.bach.",3
3187,"Social-og specialpædagogik, prof.bach.",3
